Japanese	English					
ここ	room					
たかい	high tall expensive					
あした	 tomorrow					
ひま	"free time, leisure"					
やさしい	"tender, graceful, affectionate"					
ひろい	"spacious, vast"					
へや	room or apartment					
あかるい	"light, well lit, cheerful"					
たいせつ	"important, precious, valuable"					
もんだい	"question on a test, problem (societal political)"					
むずかしい	difficult					
いそがしい	"busy, hectic"					
まじめ	"serious, earnest, sober, honest"					
せまい	"narrow, confined"					
あんぜん	"safety, security"					
やすい	"cheap, inexpensive or calm, peaceful"					
ここ	"here, this place"					
かんたん	"simple, easy, quick"					
まじめ	"serious, earnest, sober, honest"					
